2025-07-25 22:17:10 [cluster-ClusterId{value='6883b50d58ecbd204e28fb62', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=21921600}
2025-07-25 22:35:21 [cluster-ClusterId{value='6883b951dc6c41138e7d6dfb', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=25926100}
2025-07-25 22:35:22 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@33827b88, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7526bb18, org.springframework.security.web.context.SecurityContextHolderFilter@59aa2fba, org.springframework.security.web.header.HeaderWriterFilter@14293540, org.springframework.web.filter.CorsFilter@7112b21a, org.springframework.security.web.authentication.logout.LogoutFilter@66fff42f, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@18f27a81, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@624494d4, com.bxb.sunduk_pay.config.AuthenticationFilter@58e03769, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@c79780, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@30bf881e, org.springframework.security.web.session.ConcurrentSessionFilter@3e89f5bc, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@77f04d1a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@67823972, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1041ebba, org.springframework.security.web.session.SessionManagementFilter@4c8a9266, org.springframework.security.web.access.ExceptionTranslationFilter@183a508b, org.springframework.security.web.access.intercept.AuthorizationFilter@75adb1c0]
2025-07-25 22:35:23 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-25 22:35:23 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/api/sunduk-service'
2025-07-25 22:35:23 [main] INFO  com.bxb.sunduk_pay.SundukPayApplication - Started SundukPayApplication in 5.103 seconds (process running for 6.602)
2025-07-25 22:35:33 [http-nio-8080-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/api/sunduk-service] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-07-25 22:35:33 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-07-25 22:35:33 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-07-25 22:35:40 [http-nio-8080-exec-4] INFO  com.bxb.sunduk_pay.controller.SundukController - Session Id : 7D7888F24A7B5A0623B69C76F1D11421 By: Mohammad Bilal
2025-07-25 22:35:40 [http-nio-8080-exec-4] INFO  com.bxb.sunduk_pay.serviceImpl.UserServiceImpl - Login successful
